2025-07-24 17:20:32.746 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
2025-07-24 17:20:32.761 [main] INFO  s.nhnteam04.front.FrontApplication - Starting FrontApplication using Java 22.0.2 with PID 67603 (/Users/chosun-nhn04/Desktop/brick/git/finalProject/front/target/classes started by chosun-nhn04 in /Users/chosun-nhn04/Desktop/brick/git/finalProject/front)
2025-07-24 17:20:32.762 [main] INFO  s.nhnteam04.front.FrontApplication - The following 1 profile is active: "local"
2025-07-24 17:20:33.473 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-07-24 17:20:33.474 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-07-24 17:20:33.491 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 Redis repository interfaces.
2025-07-24 17:20:33.612 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=b9248545-34e9-3189-ace7-3d51a01d322b
2025-07-24 17:20:33.796 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 10360 (http)
2025-07-24 17:20:33.802 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-10360"]
2025-07-24 17:20:33.803 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-07-24 17:20:33.803 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-07-24 17:20:33.823 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-07-24 17:20:33.823 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 970 ms
2025-07-24 17:20:33.914 [main] INFO  o.s.c.o.FeignClientFactoryBean - For 'gateway/account-api' URL not provided. Will try picking an instance via load-balancing.
2025-07-24 17:20:33.950 [main] INFO  o.s.c.o.FeignClientFactoryBean - For 'gateway/cart-api' URL not provided. Will try picking an instance via load-balancing.
2025-07-24 17:20:34.046 [main] INFO  o.s.c.o.FeignClientFactoryBean - For 'gateway/order-api' URL not provided. Will try picking an instance via load-balancing.
2025-07-24 17:20:34.060 [main] INFO  o.s.c.o.FeignClientFactoryBean - For 'gateway/book-api' URL not provided. Will try picking an instance via load-balancing.
2025-07-24 17:20:34.076 [main] INFO  o.s.c.o.FeignClientFactoryBean - For 'gateway/order-api' URL not provided. Will try picking an instance via load-balancing.
2025-07-24 17:20:34.109 [main] INFO  o.s.c.o.FeignClientFactoryBean - For 'gateway/order-api' URL not provided. Will try picking an instance via load-balancing.
2025-07-24 17:20:34.118 [main] INFO  o.s.c.o.FeignClientFactoryBean - For 'gateway/review-api' URL not provided. Will try picking an instance via load-balancing.
2025-07-24 17:20:34.249 [main] INFO  o.s.c.o.FeignClientFactoryBean - For 'gateway/order-api' URL not provided. Will try picking an instance via load-balancing.
